Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,28,385,734922.7,7173059.5,567.5,91.9,0.0,0.0,172594.0,71543.00,22219.50,3181.500,-454.0000,-176.0000,154.5000,187.0000,156.5000,0.000000,217551.0,149387.0,69507.50,24699.50,7705.500,2365.000,783.5000,406.5000,152.5000,0.000000
1,28,387,734922.7,7173031.5,567.4,90.2,0.0,0.0,169737.0,63455.50,19107.50,3118.000,-402.5000,-164.0000,144.0000,154.5000,138.0000,0.000000,217808.0,144571.5,65998.00,23262.00,7105.500,2173.500,775.5000,406.5000,173.5000,0.000000
1,28,389,734922.8,7173003.5,567.3,88.5,0.0,0.0,167990.5,57464.50,17187.50,3251.500,-220.0000,-90.00000,130.0000,122.5000,119.0000,0.000000,214029.5,131659.5,59337.50,21304.50,6525.500,1994.500,768.0000,402.5000,181.5000,0.000000
1,28,391,734922.8,7172975.5,567.3,87.4,0.0,0.0,166912.0,55073.50,16844.50,3697.000,63.00000,16.00000,110.0000,94.50000,99.00000,0.000000,205594.0,113662.5,51135.50,19171.00,6028.000,1850.000,758.0000,394.5000,178.0000,0.000000
1,28,393,734922.9,7172947.5,567.6,87.4,0.0,0.0,165848.5,55757.00,17435.50,4378.500,331.5000,82.50000,83.00000,68.00000,79.00000,0.000000,195378.5,96064.00,43964.50,17425.00,5673.500,1751.000,741.0000,380.5000,168.0000,0.000000
1,28,395,734923.0,7172919.5,568.0,88.1,0.0,0.0,163982.5,57797.00,18126.00,5043.000,482.0000,64.00000,49.00000,39.50000,58.00000,0.000000,187189.5,84972.50,39931.50,16541.50,5468.500,1690.500,718.0000,360.5000,155.5000,0.000000
1,28,397,734923.2,7172891.5,568.4,88.7,0.0,0.0,160687.0,59412.50,18453.50,5429.500,487.0000,-25.50000,13.50000,10.00000,36.50000,0.000000,183250.5,83112.00,39463.00,16657.50,5374.500,1654.000,688.0000,337.0000,140.0000,0.000000
1,28,399,734923.4,7172863.5,568.6,89.1,0.0,0.0,155726.5,59592.00,18207.00,5362.000,380.5000,-136.5000,-23.00000,-18.50000,13.50000,0.000000,183952.5,87690.00,41422.00,17539.00,5356.500,1628.500,654.5000,311.5000,123.5000,0.000000
1,28,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,150004.5,58420.50,17330.50,4830.500,223.0000,-228.5000,-60.50000,-44.50000,-8.000000,0.000000,188311.0,93913.50,44215.00,18675.00,5385.500,1607.500,618.5000,286.0000,105.0000,0.000000
1,28,403,734923.8,7172807.5,568.6,89.1,0.0,0.0,146555.5,56945.00,16152.00,4081.500,76.50000,-293.5000,-99.00000,-69.00000,-25.50000,0.000000,194812.5,99410.50,46738.50,19552.00,5429.000,1586.000,581.5000,260.5000,84.50000,0.000000
1,28,405,734924.1,7172779.5,568.6,89.2,0.0,0.0,149261.5,56952.00,15493.00,3500.000,-16.50000,-340.0000,-138.0000,-90.00000,-36.50000,0.000000,202126.0,104566.0,48608.00,19984.50,5457.500,1563.000,542.0000,236.5000,64.00000,0.000000
1,28,407,734924.4,7172751.5,568.8,89.7,0.0,0.0,159783.5,60836.50,16483.50,3371.500,-42.00000,-376.0000,-177.0000,-107.0000,-44.00000,0.000000,209505.5,110244.0,49960.00,20090.00,5468.500,1537.000,502.5000,216.5000,46.50000,0.000000
1,28,409,734924.6,7172723.5,568.9,90.2,0.0,0.0,176275.5,70338.50,20147.00,3885.000,0.5000000,-406.0000,-217.5000,-121.0000,-51.00000,0.000000,216951.0,116795.0,51328.50,20072.50,5479.000,1510.500,469.0000,202.0000,37.00000,0.000000
1,28,411,734924.9,7172695.5,569.1,90.9,0.0,0.0,194971.0,84345.00,26584.00,5197.000,125.0000,-430.5000,-259.5000,-131.5000,-59.50000,0.000000,224592.5,124282.5,53631.50,20175.00,5520.000,1488.000,449.0000,193.0000,40.50000,0.000000
1,28,413,734925.1,7172668.5,569.4,91.6,0.0,0.0,211934.5,99471.50,34575.50,7300.000,377.0000,-443.5000,-298.0000,-140.5000,-71.00000,0.000000,232167.0,132474.0,57754.00,20702.00,5632.000,1477.000,446.0000,188.0000,54.50000,0.000000
1,28,415,734925.3,7172641.5,569.9,92.4,0.0,0.0,224564.5,112824.0,42494.00,10000.00,820.0000,-424.0000,-323.5000,-144.0000,-82.50000,0.000000,239381.0,141380.5,63818.00,21899.50,5849.500,1478.500,454.5000,184.5000,74.00000,0.000000
1,28,417,734925.4,7172614.5,570.4,93.2,0.0,0.0,232696.0,123134.0,49453.00,13040.00,1470.500,-351.0000,-325.0000,-138.5000,-86.00000,0.000000,246221.0,151294.0,71176.00,23834.50,6182.500,1488.000,464.5000,183.0000,91.00000,0.000000
1,28,419,734925.6,7172587.5,570.9,93.9,0.0,0.0,237671.0,130546.0,55363.50,16122.50,2259.000,-223.5000,-300.0000,-120.5000,-69.50000,0.000000,252645.5,161948.0,79181.50,26489.00,6653.000,1505.000,472.5000,181.0000,103.0000,0.000000
1,28,421,734925.6,7172559.5,571.3,94.7,0.0,0.0,240666.5,135732.5,60231.00,18892.50,3073.500,-60.00000,-254.5000,-83.00000,-24.00000,0.000000,258431.0,172637.0,87612.00,29935.00,7329.500,1538.000,476.5000,175.5000,105.5000,0.000000
1,28,423,734925.6,7172531.5,571.7,95.3,0.0,0.0,242083.5,138788.5,63656.00,20967.00,3795.500,123.5000,-187.0000,-26.50000,38.00000,0.000000,263350.5,182761.5,96393.50,34238.50,8268.000,1598.000,475.5000,161.0000,94.00000,0.000000
1,28,425,734925.6,7172503.5,572.1,95.8,0.0,0.0,241853.0,139335.0,64975.00,22005.50,4314.500,314.0000,-97.00000,33.50000,88.50000,0.000000,267218.0,191676.0,105064.0,39070.50,9394.500,1684.500,467.5000,138.5000,63.50000,0.000000
1,28,427,734925.5,7172475.5,572.3,96.0,0.0,0.0,240151.5,137418.0,63857.50,21827.50,4566.000,488.0000,1.500000,77.50000,111.5000,0.000000,269844.0,198410.0,112521.5,43606.00,10527.50,1789.000,455.0000,110.5000,14.00000,0.000000
1,28,429,734925.4,7172447.5,572.2,95.7,0.0,0.0,237715.5,133905.5,60801.50,20569.50,4570.000,616.5000,80.00000,101.0000,114.0000,0.000000,271027.0,202060.0,117460.5,46974.00,11496.50,1902.500,445.5000,83.50000,-36.00000,0.000000
1,28,431,734925.2,7172419.5,571.9,95.2,0.0,0.0,235432.0,130166.5,57121.00,18788.00,4412.500,693.5000,120.5000,114.0000,108.0000,0.000000,270120.5,202116.0,119086.0,48717.00,12191.00,2024.500,446.5000,63.50000,-69.00000,0.000000
1,28,433,734925.1,7172391.5,571.8,94.8,0.0,0.0,234087.0,127568.0,54357.50,17263.50,4201.500,741.0000,131.5000,123.5000,102.0000,0.000000,265576.5,198046.0,117316.0,48847.50,12584.50,2157.500,467.0000,58.50000,-78.00000,0.000000
1,28,435,734924.9,7172363.5,572.0,94.5,0.0,0.0,234545.0,127388.0,53625.50,16518.50,4032.500,781.5000,129.0000,132.5000,100.0000,0.000000,256446.0,189886.0,112780.5,47701.00,12736.50,2304.000,510.5000,74.00000,-68.50000,0.000000
1,28,437,734924.8,7172335.5,572.9,94.2,0.0,0.0,237583.0,130713.0,55419.00,16676.00,3966.500,823.5000,125.0000,141.0000,103.5000,0.000000,245124.0,180049.5,107160.0,45920.00,12751.50,2473.000,582.5000,110.5000,-44.00000,0.000000
1,28,439,734924.8,7172307.5,573.9,93.8,0.0,0.0,242931.5,137346.5,59437.00,17632.00,4011.500,864.5000,121.5000,149.0000,112.0000,0.000000,236777.5,172958.0,102862.0,44326.00,12735.00,2675.000,683.0000,163.5000,-8.000000,0.000000
1,28,441,734924.8,7172279.5,574.6,93.3,0.0,0.0,248504.0,144688.0,64177.00,19001.50,4120.500,897.0000,120.0000,158.0000,123.5000,0.000000,235250.0,171927.5,101697.5,43543.50,12771.50,2918.500,806.0000,226.0000,35.50000,0.000000
1,28,443,734924.9,7172251.5,574.6,92.9,0.0,0.0,251169.5,148895.5,67291.00,20057.00,4217.500,913.0000,120.0000,166.0000,136.5000,0.000000,240642.0,177019.5,103966.5,43791.00,12945.50,3212.000,948.0000,300.5000,82.50000,0.000000
1,28,445,734925.0,7172224.0,573.9,93.2,0.0,0.0,248690.0,147505.5,66952.00,20068.50,4236.000,912.0000,122.0000,174.0000,149.0000,0.000000,249758.0,185235.5,108361.5,44854.50,13327.50,3570.500,1120.500,397.0000,133.0000,0.000000
1,28,447,734925.1,7172197.0,573.4,94.0,0.0,0.0,241090.0,140593.0,62946.00,18796.00,4150.000,903.5000,129.0000,182.0000,160.5000,0.000000,257696.0,192112.0,112311.5,46021.50,13879.50,3997.500,1340.000,524.0000,187.0000,0.000000
1,28,449,734925.2,7172170.0,573.5,94.7,0.0,0.0,229954.5,129948.0,56508.50,16671.50,3974.000,894.5000,142.0000,188.5000,170.0000,0.000000,260486.0,194050.0,113178.5,46353.00,14434.00,4476.500,1608.000,676.5000,246.0000,0.000000
1,28,451,734925.4,7172143.0,574.7,95.2,0.0,0.0,216619.0,117474.0,49230.50,14472.00,3758.500,889.0000,165.0000,194.5000,177.5000,0.000000,256917.5,189605.5,109638.5,45333.00,14858.50,4984.500,1918.000,848.0000,310.5000,0.000000
1,28,453,734925.5,7172115.5,576.5,95.8,0.0,0.0,201780.2,104321.1,42195.64,12681.64,3540.141,863.6406,176.6406,174.6406,155.1406,0.000000,247840.7,178813.2,102018.6,43125.14,15122.14,5475.641,2229.641,1011.641,355.6406,0.000000
1,28,455,734925.8,7172087.0,578.2,96.2,0.0,0.0,186173.9,91471.88,36163.87,11402.37,3372.373,852.3724,202.8724,148.8724,119.8724,0.000000,234884.4,162641.4,91826.38,40272.87,15258.87,5912.372,2518.373,1166.873,393.8724,0.000000
1,28,457,734926.1,7172059.0,579.2,95.9,0.0,0.0,170399.4,80227.39,31789.39,10631.89,3322.896,943.3959,294.3958,146.8958,83.39583,0.000000,219710.9,143508.9,80918.39,37125.89,15175.89,6153.896,2680.396,1256.896,405.8958,0.000000
1,28,459,734926.5,7172031.0,579.8,94.8,0.0,0.0,154713.2,71530.25,29351.75,10523.75,3657.750,1393.250,640.2500,303.7500,126.2500,0.000000,203658.8,125240.2,70876.75,33758.75,14644.25,5999.250,2565.750,1205.750,370.7500,0.000000
1,28,461,734926.8,7172003.0,580.1,93.8,0.0,0.0,139400.6,65179.07,28620.57,11503.06,5007.562,2751.562,1687.562,971.5626,489.0625,0.000000,187804.6,110871.0,62494.07,30203.07,13437.56,5329.562,2104.562,1004.562,328.0625,0.000000
1,28,463,734927.2,7171975.0,580.1,93.8,0.0,0.0,125080.2,60376.73,29283.73,14130.73,8099.729,5597.229,3887.229,2458.229,1345.229,0.000000,173164.8,100487.8,55490.23,26442.73,11406.23,4058.729,1234.229,555.2291,194.7292,0.000000
1,28,465,734927.6,7171947.0,579.8,94.1,0.0,0.0,113226.5,56988.50,31702.00,19080.00,13537.00,10391.50,7568.500,4936.500,2750.500,0.000000,160830.5,92403.50,49429.50,22814.50,9013.500,2533.000,186.5000,-99.00000,-79.50000,0.000000
1,28,467,734927.9,7171919.0,579.2,94.1,0.0,0.0,106004.0,55352.50,36698.50,26727.00,21466.00,17243.50,12827.00,8452.000,4690.000,0.000000,151517.5,85867.00,44969.50,20623.50,7828.500,1981.500,-166.0000,-415.0000,-237.0000,0.000000
1,28,469,734928.0,7171891.0,578.6,94.2,0.0,0.0,104415.5,55138.00,43972.00,36148.50,30861.50,25326.50,19099.00,12682.00,6938.000,0.000000,144792.5,81553.00,44012.00,21999.50,10049.50,4188.000,1479.500,483.5000,150.5000,0.000000
1,28,471,734928.1,7171863.0,578.0,94.8,0.0,0.0,107216.5,55495.00,51105.00,44760.00,39365.00,32750.00,25036.00,16831.50,9135.000,0.000000,139565.5,80030.00,48580.50,28853.50,17408.50,10667.50,6351.000,3496.500,1578.500,0.000000
1,28,473,734928.1,7171835.0,577.5,95.8,0.0,0.0,111338.0,54936.00,53884.50,48581.00,43392.50,36410.50,28102.00,18950.00,9995.500,0.000000,134181.0,79897.00,57662.00,40037.00,28694.50,20426.50,13689.50,8017.000,3449.500,0.000000
1,28,475,734927.9,7171807.5,577.0,96.8,0.0,0.0,114590.0,52578.03,49845.03,45307.03,40805.03,34369.03,26590.53,17592.53,8488.531,0.000000,127521.0,79115.03,66878.03,51256.53,39916.53,30106.03,20913.03,12238.03,4610.531,0.000000
1,28,477,734927.9,7171780.5,576.6,97.7,0.0,0.0,118153.0,50270.50,41739.00,37543.50,33984.50,28821.50,22414.50,14508.50,6262.000,0.000000,121086.5,77708.50,72851.50,59310.50,48278.00,37562.00,26725.00,15825.50,5672.000,0.000000
1,28,479,734927.9,7171753.5,576.4,98.6,0.0,0.0,123519.5,49916.50,33960.00,29440.00,26677.00,22987.00,18163.00,11887.50,5066.000,0.000000,116667.0,76083.50,74366.00,63013.50,52734.00,42028.00,30738.00,18888.50,7327.000,0.000000
1,28,481,734928.1,7171726.5,576.4,98.9,0.0,0.0,129041.2,50401.21,27526.21,22002.21,19633.71,17006.71,13464.21,8980.708,3663.208,0.000000,113493.2,72922.70,70437.20,61215.71,52071.21,42195.21,31497.21,19866.21,8032.708,0.000000
1,28,483,734928.2,7171699.0,576.5,98.3,0.0,0.0,133768.6,51716.12,23232.62,16240.12,13826.62,11598.12,8861.125,6011.625,1998.625,0.000000,112103.1,69042.12,63024.62,55495.12,47731.12,39211.12,29797.12,19196.62,7956.125,0.000000
1,28,485,734928.5,7171670.5,576.8,97.3,0.0,0.0,136967.3,54035.88,21608.38,12839.38,9968.873,7636.372,5164.372,3308.372,402.8723,0.000000,113177.8,65852.88,54921.88,48186.38,41795.88,34784.38,26940.88,17797.38,7642.872,0.000000
1,28,487,734928.8,7171642.5,577.5,96.9,0.0,0.0,138158.9,56878.95,22957.45,12093.95,8380.950,5687.950,2866.950,908.4500,-1134.050,0.000000,116670.0,64441.95,48464.95,41399.45,36010.95,30263.45,23834.45,16123.95,7111.950,0.000000
1,28,489,734929.2,7171614.5,578.3,96.9,0.0,0.0,137632.5,59716.52,27141.52,14104.02,9269.514,6080.514,2367.514,-692.9863,-2407.486,0.000000,122247.0,65980.52,45565.02,37166.52,32076.52,26984.52,21408.02,14668.02,6520.014,0.000000
1,28,491,734929.6,7171586.5,579.2,96.8,0.0,0.0,135390.7,61561.16,32313.66,17879.16,11912.17,8036.167,3199.167,-1350.833,-3390.833,0.000000,128826.1,70817.17,46895.66,36507.16,30843.16,25597.66,20072.16,13578.67,5874.167,0.000000
1,28,493,734930.2,7171558.5,580.0,96.7,0.0,0.0,132080.7,62085.16,36761.16,22501.16,15744.67,11001.67,5255.167,-576.9583,-3268.333,0.000000,135476.7,78717.17,52618.16,40057.66,33100.66,26959.16,20712.66,13762.17,6041.667,0.000000
1,28,495,734930.7,7171530.5,580.8,96.6,0.0,0.0,127456.5,60200.00,38511.50,25798.50,18806.50,13392.50,7269.500,792.0000,-2500.500,0.000000,139708.5,86673.00,60126.50,45823.50,37374.00,29984.00,22609.50,14789.50,6614.000,0.000000
1,28,497,734931.3,7171502.5,581.6,96.3,0.0,0.0,120872.5,54942.00,36280.00,25639.00,18880.50,13349.00,7401.000,1045.000,-2590.000,0.000000,139133.5,90543.50,64994.00,49847.50,40298.00,31899.50,23570.50,14952.00,6106.000,0.000000
1,28,499,734931.9,7171474.5,582.2,96.2,0.0,0.0,113954.0,48345.50,31905.00,23246.50,16876.00,11649.50,6220.000,619.0000,-3128.500,0.000000,135326.0,89873.50,65538.50,50443.50,40406.00,31678.50,23030.50,14161.50,4925.000,0.000000
1,28,501,734932.5,7171446.5,582.7,95.9,0.0,0.0,108768.0,43498.06,28102.56,21004.56,14898.56,10060.56,5251.562,702.5625,-3000.438,0.000000,131459.0,86937.56,62697.56,48112.56,37988.56,29656.56,21427.06,13047.56,4171.562,0.000000
1,28,503,734933.1,7171418.5,583.0,95.7,0.0,0.0,105519.6,41606.09,25800.09,19600.09,13600.58,9104.584,4844.083,1335.083,-2192.417,0.000000,128969.1,83465.58,58087.09,43720.09,33688.59,26193.09,18893.59,11572.08,3848.083,0.000000
1,28,505,734933.6,7171390.5,583.1,95.5,0.0,0.0,102989.4,41564.89,24225.88,18240.88,12312.38,8212.885,4356.385,1672.385,-1514.115,0.000000,127595.9,79670.38,53189.89,38023.39,28305.88,21677.88,15454.38,9392.385,3198.385,0.000000
1,28,507,734934.1,7171362.5,583.0,95.6,0.0,0.0,100979.0,42670.53,23269.04,16972.54,11213.54,7625.038,4118.038,1939.038,-743.9617,0.000000,127526.5,76123.05,49577.03,32926.04,23691.54,17673.04,12375.04,7456.538,2658.038,0.000000
1,28,509,734934.6,7171334.5,582.5,95.8,0.0,0.0,99367.00,44403.00,22660.00,15669.50,10280.00,7195.000,4129.500,2210.000,60.50000,0.000000,128211.0,72949.00,47022.50,29589.50,20681.00,15008.00,10358.00,6314.000,2486.500,0.000000
1,28,511,734934.9,7171306.5,581.9,95.6,0.0,0.0,97742.00,45792.50,21577.00,13585.50,8779.000,6086.500,3572.000,1853.500,129.5000,0.000000,128212.5,69533.00,44170.00,27288.00,18445.00,13026.00,8781.000,5358.000,2060.500,0.000000
1,28,513,734935.2,7171278.5,581.4,94.9,0.0,0.0,98055.00,47325.00,20729.50,11346.50,7278.000,4920.000,2971.500,1500.000,86.50000,0.000000,127553.0,66602.50,41411.50,25750.00,16961.00,11818.00,7880.500,4920.000,1889.500,0.000000
1,28,515,734935.4,7171250.5,581.1,94.0,0.0,0.0,103091.1,49091.09,20242.59,8864.090,5606.091,3598.090,2175.090,993.5903,-156.4098,0.000000,125632.1,64337.09,38626.09,24055.09,15511.09,10658.59,7080.091,4497.091,1685.591,0.000000
1,28,517,734935.6,7171222.0,581.0,93.1,0.0,0.0,116102.5,51599.00,20431.50,6514.000,3972.500,2336.500,1391.500,520.0000,-382.0000,0.000000,122448.0,63436.50,36060.50,22120.00,13992.00,9452.500,6309.500,4055.000,1534.500,0.000000
1,28,519,734935.7,7171194.0,580.9,92.1,0.0,0.0,136909.9,55119.41,21136.41,4656.917,2465.417,1214.417,665.4167,90.91670,-576.5833,0.000000,118690.4,63961.41,33901.41,19985.41,12344.42,8175.417,5469.917,3518.417,1358.917,0.000000
1,28,521,734935.7,7171165.5,580.7,91.6,0.0,0.0,160280.1,60252.61,22111.11,3581.107,1169.607,328.6076,44.60765,-292.3923,-738.3923,0.000000,116712.6,65386.61,32477.11,17808.11,10631.11,6869.607,4548.607,2873.107,1086.607,0.000000
1,28,523,734935.6,7171137.0,580.6,91.6,0.0,0.0,178877.5,67203.00,23296.00,3337.000,216.0000,-219.5000,-367.0000,-550.5000,-786.0000,0.000000,119426.5,67707.00,32137.00,15903.50,9043.500,5667.000,3677.500,2225.500,767.0000,0.000000
1,28,525,734935.4,7171108.0,580.4,91.7,0.0,0.0,188636.9,74306.41,24749.90,3896.904,-140.0959,-287.0959,-369.5959,-459.5959,-512.5959,0.000000,127269.4,71610.41,33087.41,14687.90,7896.404,4849.404,3145.904,1857.904,662.9041,0.000000
1,28,527,734935.2,7171079.0,580.3,91.8,0.0,0.0,190192.5,78637.02,26002.52,4761.526,-149.4739,-220.4739,-256.9739,-277.4739,-208.9739,0.000000,137606.0,76783.02,34781.02,13975.03,7004.526,4218.526,2754.026,1603.026,616.5260,0.000000
1,28,529,734934.8,7171050.0,580.4,91.8,0.0,0.0,187031.5,79579.00,26859.00,5664.500,30.00000,-157.5000,-149.0000,-113.0000,6.500000,0.000000,148097.5,82473.50,36797.50,13688.50,6324.000,3709.000,2442.000,1447.000,617.0000,0.000000
1,28,531,734934.3,7171021.5,580.8,92.1,0.0,0.0,182197.0,78431.50,27150.00,6303.000,110.5000,-274.0000,-230.0000,-154.5000,-31.50000,0.000000,157580.0,87983.50,38797.00,13665.50,5674.000,3115.000,2027.500,1213.000,498.0000,0.000000
1,28,533,734933.6,7170994.0,581.0,92.4,0.0,0.0,177517.0,76691.00,27120.50,6801.500,229.0000,-332.5000,-265.0000,-172.0000,-61.00000,0.000000,166138.0,93376.50,40985.50,14120.50,5239.000,2623.500,1711.000,1077.500,455.5000,0.000000
1,28,535,734932.8,7170966.0,580.8,92.7,0.0,0.0,173273.0,74725.00,26731.50,7069.000,317.5000,-363.0000,-279.5000,-184.0000,-87.50000,0.000000,173764.0,98639.00,43321.50,14945.00,4966.000,2214.500,1454.000,974.5000,436.5000,0.000000
1,28,537,734931.7,7170938.0,580.2,93.1,0.0,0.0,169383.0,72564.00,25990.00,7085.000,360.5000,-385.0000,-286.5000,-195.5000,-112.5000,0.000000,180165.0,103524.5,45727.00,15977.50,4851.500,1925.000,1253.500,887.0000,422.0000,0.000000
1,28,539,734930.5,7170910.0,579.5,93.6,0.0,0.0,166094.5,70419.00,25048.50,6888.500,369.0000,-401.5000,-287.0000,-201.0000,-130.0000,0.000000,184579.5,107194.5,48004.00,17051.00,4887.500,1771.500,1112.000,812.0000,407.5000,0.000000
1,28,541,734929.3,7170882.0,578.8,94.1,0.0,0.0,164299.0,69009.50,24242.50,6576.000,362.0000,-406.5000,-276.5000,-191.0000,-124.5000,0.000000,186143.0,108670.5,49763.50,18032.50,5020.500,1712.000,1016.000,748.0000,392.5000,0.000000
1,28,543,734928.1,7170854.0,578.6,94.2,0.0,0.0,165493.0,69567.00,24043.00,6293.000,360.0000,-393.5000,-251.5000,-159.0000,-86.50000,0.000000,184799.0,107709.0,50677.50,18852.00,5185.000,1688.500,944.0000,687.0000,377.0000,0.000000
1,28,545,734926.9,7170826.0,578.8,94.2,0.0,0.0,171557.5,73597.50,25081.00,6224.500,386.0000,-362.5000,-214.5000,-105.0000,-20.50000,0.000000,181558.5,104981.5,50911.50,19509.50,5341.000,1666.000,882.0000,624.5000,358.5000,0.000000
1,28,547,734925.7,7170798.0,578.9,94.2,0.0,0.0,184051.0,82360.50,28111.50,6609.500,465.0000,-318.0000,-168.5000,-32.50000,56.50000,0.000000,178006.5,101787.5,51086.50,20056.00,5467.500,1629.000,823.0000,555.0000,332.0000,0.000000
1,28,549,734924.6,7170770.0,578.8,94.0,0.0,0.0,202483.5,95632.50,33432.00,7622.000,623.0000,-265.0000,-116.0000,56.50000,132.0000,0.000000,176088.5,100050.5,51928.50,20562.00,5551.500,1570.500,761.0000,471.5000,292.0000,0.000000
1,28,551,734923.8,7170742.0,578.0,92.8,0.0,0.0,223082.5,110789.0,40172.00,9146.500,859.5000,-205.5000,-62.00000,150.5000,194.5000,0.000000,177735.5,102021.5,54004.50,21089.50,5594.500,1490.500,695.0000,368.5000,235.5000,0.000000
1,28,553,734923.1,7170714.0,577.0,91.3,0.0,0.0,240614.5,124092.5,46638.00,10774.00,1134.000,-142.5000,-14.50000,228.0000,230.5000,0.000000,183509.0,108757.0,57335.50,21666.50,5610.500,1396.500,628.5000,248.0000,160.0000,0.000000
1,28,555,734922.6,7170684.5,576.2,90.8,0.0,0.0,252005.0,133144.5,51494.50,12102.00,1394.000,-83.00000,20.00000,270.0000,229.5000,0.000000,191826.0,118422.0,61172.50,22266.00,5612.500,1297.500,566.5000,133.5000,74.50000,0.000000
1,28,557,734922.2,7170655.5,575.8,91.2,0.0,0.0,257558.5,137790.5,54374.50,12961.50,1611.000,-33.00000,28.50000,269.0000,197.5000,0.000000,200049.0,127127.5,64429.00,22803.00,5608.000,1205.000,514.0000,59.50000,0.000000,0.000000
1,28,559,734922.1,7170626.5,575.9,91.5,0.0,0.0,259135.0,139151.5,55619.00,13402.50,1793.500,1.500000,-2.000000,231.5000,153.0000,0.000000,205973.5,132141.5,66367.00,23172.50,5596.000,1138.000,472.0000,45.50000,-41.50000,0.000000
1,28,561,734922.1,7170597.5,576.1,91.2,0.0,0.0,258134.0,138210.5,55726.00,13563.50,1961.500,9.500000,-70.00000,175.0000,116.5000,0.000000,208652.5,133590.5,66965.00,23301.00,5578.500,1112.000,440.0000,77.00000,-46.50000,0.000000
1,28,563,734922.2,7170568.5,576.1,90.8,0.0,0.0,254784.5,135145.5,54872.50,13561.00,2128.500,-3.500000,-145.0000,117.0000,99.00000,0.000000,208355.0,132980.0,66656.50,23180.00,5563.500,1124.000,413.5000,125.0000,-27.50000,0.000000
1,28,565,734922.4,7170541.0,576.1,90.4,0.0,0.0,248596.0,129753.0,52860.00,13434.50,2303.000,1.000000,-183.0000,66.00000,95.00000,0.000000,205689.5,131142.0,65713.00,22867.00,5570.500,1152.500,386.5000,168.5000,3.500000,0.000000
1,28,567,734922.7,7170513.0,576.1,90.0,0.0,0.0,239527.5,122316.0,49611.50,13183.00,2495.000,58.00000,-165.5000,30.50000,97.50000,0.000000,201025.5,127799.0,63982.00,22441.00,5626.000,1178.500,350.0000,194.5000,38.50000,0.000000
1,28,569,734923.1,7170485.0,576.0,89.6,0.0,0.0,228486.5,113803.5,45564.50,12828.00,2719.500,158.5000,-111.5000,15.00000,100.5000,0.000000,194750.0,122566.5,61293.00,21951.50,5749.000,1194.500,294.5000,194.5000,66.50000,0.000000
1,28,571,734923.6,7170457.0,575.9,89.6,0.0,0.0,216598.0,105135.5,41370.00,12413.00,2974.500,273.5000,-46.50000,18.50000,102.5000,0.000000,187633.0,116069.0,58005.50,21455.50,5936.500,1203.500,219.5000,172.5000,79.00000,0.000000
1,28,573,734924.1,7170429.0,575.9,90.1,0.0,0.0,204644.5,96673.50,37470.00,11963.50,3208.500,378.0000,17.50000,33.50000,103.5000,0.000000,180819.0,109802.0,54921.00,21091.00,6184.000,1218.500,138.5000,141.5000,74.50000,0.000000
1,28,575,734924.7,7170400.0,575.8,90.6,0.0,0.0,193274.5,88527.00,34126.00,11469.50,3319.500,450.0000,73.50000,52.00000,105.5000,0.000000,175458.5,104885.5,52756.50,21054.00,6495.000,1265.000,75.00000,115.0000,60.00000,0.000000
1,28,577,734925.3,7170371.0,575.7,91.0,0.0,0.0,183283.5,81144.00,31522.50,10902.50,3215.500,472.5000,115.5000,70.50000,107.0000,0.000000,172062.5,101381.5,51747.00,21451.00,6884.000,1374.000,47.50000,96.50000,45.00000,0.000000
1,28,579,734925.9,7170342.0,575.2,91.5,0.0,0.0,175636.0,75493.50,29752.50,10271.00,2906.500,451.0000,141.5000,87.50000,108.5000,0.000000,170381.0,98926.50,51621.00,22192.50,7350.000,1554.000,62.50000,84.00000,37.50000,0.000000
1,28,581,734926.6,7170313.0,574.5,91.9,0.0,0.0,171172.0,72571.00,28892.50,9669.000,2513.500,413.5000,153.5000,104.0000,110.5000,0.000000,170143.5,97562.50,51991.50,23058.50,7847.500,1771.500,113.0000,76.00000,40.00000,0.000000
1,28,583,734927.2,7170284.0,574.0,92.0,0.0,0.0,170259.0,72841.50,29098.50,9274.500,2198.000,388.5000,153.5000,119.5000,113.0000,0.000000,171563.5,97762.00,52750.50,23877.50,8282.000,1963.000,180.0000,79.50000,50.00000,0.000000
1,28,585,734927.8,7170256.0,573.7,91.9,0.0,0.0,172819.5,76245.00,30582.00,9277.500,2068.000,387.0000,142.5000,129.5000,116.5000,0.000000,175039.5,99933.50,54063.50,24612.00,8581.000,2080.000,245.5000,96.50000,62.50000,0.000000
1,28,587,734928.2,7170228.0,573.6,92.2,0.0,0.0,178356.5,82271.50,33424.00,9810.000,2149.000,404.0000,123.5000,130.5000,121.0000,0.000000,180565.5,103999.0,56057.50,25291.00,8754.000,2123.000,301.5000,119.5000,76.50000,0.000000
